product_name,product_price,items_sold,rating,rating_count
ALHA ALFA LIP BOOSTER SERUM Lips,24.9,104400,4.9,27000
ALHA ALFA MAGIC GLOW LIP TREATMENT OIL,24.9,35400,4.8,8800
ALHA ALFA ROYAL PROPOLIS FOUNDATION PERFECT GLOW,69.9,30400,4.9,8300
ALHA ALFA COMPACT POWDER ROYAL PROPOLIS FOUNDATION,59.9,27400,4.9,27600
ALHA ALFA SETTING SPRAY MAKEUP,59.9,23500,4.9,6400
ALHA ALFA POCKET CAMOUFLAGE CREAM,49.9,20400,4.8,5300
ALHA ALFA COLLAGEN SERUM FOUNDATION ,49.9,19500,4.9,4100
ALHA ALFA ROYAL PROPOLIS LUMINOUS SILK FOUNDATION,59.9,18600,4.9,4800
ALHA ALFA SATIN COMPACT POWDER,49.9,18000,4.9,4600
ALHA ALFA COSMETICS SKIN BOOSTER,49.9,17600,4.9,4900
ALHA ALFA BRIGHT BOOST MOISTURIZER FACE CREAM,59.9,15600,4.9,4100
ALHA ALFA SUPER STAY FIXING LOOSE POWDER,59.9,12400,4.9,3300
ALHA ALFA BE YOU FOUNDATION,49.9,12300,4.8,3100
ALHA ALFA PREBIOTIC UV SUNSCREEN SPF50 PA++,49.9,8377,4.9,2000
ALHA ALFA EYESHADOW PALETTE,49.9,6921,4.9,1100
ALHA ALFA FOGGY LIPSTICK,29.9,5790,4.8,1500
ALHA ALFA DARK SPORT SERUM TRANEXAMIC ACID 2%,69.9,5518,4.9,5540
ALHA ALFA COSMETIC MASCARA,49.9,4433,4.9,1100
ALHA ALFA X TV3 TRITONE BLENDING LIPSTICK AND LIP TREATMENT BALM XOXO,69.9,3230,4.9,978
BELIEVEFIT BODY FIRMING AND CONTOURING LOTION,39.9,2765,4.8,653
ALHA ALFA ROYAL PROPOLIS LUMINOUS SILK FOUNDATION 15ML,39.9,2076,4.9,456
ALHA ALFA LASHES PREMIUM COLLECTION,17.0,625,4.9,133
ALHA ALFA SKIN BRIGHTEN UP & HYDRATE SKINCARE DUO,89.9,431,4.9,62
